# base X real number | base X |  decimal real number equivalent (base 10)
#    (created by gen..raku)

011010011111.101011  2  1695.671875
-1111001000001.101101  2  -7745.703125
122022020211.221001  3  340627.927298
-1202110112002.202202  3  -934229.768176
133022030321.231012  4  8168249.70459
-1303111212102.303313  4  -30235026.810303
244033140432.342012  5  144818242.776448
-1404111313103.413414  5  -447760403.870976
254144150532.452013  6  1071236216.815008
-2504221324104.514515  6  -6211853320.883723
365145160643.463023  7  7838278514.7027684
-2605222425104.615626  7  -39761788679.8947972
376155170653.573024  8  34119938475.740311
-2706322425205.716627  8  -198428994181.9038963
487166280753.684024  9  156205561449.7709605
-3707332536206.826728  9  -1069812841551.9229265
498177290864.694025  10  498177290864.694025
-3808333637207.927829  10  -3808333637207.927829
5A82772A0974.7A4135  11  1705374179161.72210328
-4909443637307.A2893A  11  -15143681790409.93226934
5B92882B0A75.8A5136  12  4443742116089.7390669
-4A09443748308.B29A3B  12  -43142797574072.93626188
6CA2993C0B85.8B5137  13  12515550358095.68279375
-4B0A543749309.C29B3C  13  -113016496679745.93940344
6CB29A3D0C96.9C6147  14  27999696102692.70630262
-5C0B55485A309.D3AC4D  14  -332299556080725.9478434
7DC2AA3E0C96.AD6148  15  68513017677216.726247945
-5D0C55495A40A.E3BD4E  15  -761653557372160.950189213
7EC3BB3F0DA7.AE7148  16  139379125194151.68141603
-5E0D65495B40B.F3CD4F  16  -1654586030273547.952351511
7FD3CC3G1EB7.BF7149  17  271710971646914.700401892
-6E0E665A6C40B.G3CE4G  17  -3977244653980734.954170695
8GE3CC4H1FB7.CG8159  18  574092610347553.71743356
-6F0E765A6C51C.H4DF5H  18  -7907872472513202.95916524
8HF3DD4I1GC8.CH815A  19  1041053707916282.679846616
-6G1F775B6D51D.I4EG5I  19  -15154830443875840.960615043
9IG3EE4J1HD8.DI815A  20  2035807631855068.69600797
-7H1G776C7E51E.J4FH5J  20  -32172220583634034.961983109
9JG4EF4K1ID9.EJ916B  21  3482301537623442.710729123
-7I1H876C7F51E.J4FI6K  21  -57826285986839678.915546151
AKH4FF5L1JE9.EK926B  22  6395163696912945.678540978
-8J1I886D7F61F.K4GJ6L  22  -113990819254851125.9189404588
ALI4GG5M1JEA.FKA26C  23  10430845190615500.6908111519
-8K1J887D8G61G.L5HK6M  23  -194449493875068673.9239650461
BMJ4HH5N1KFA.GLA26D  24  18184082866852978.7038552293
-8L1J987E8H61G.M5IK6N  24  -324232710040921000.9267104611
BNK4HI5O1LGB.GMB27D  25  28496507138310411.67590989
-9L1K997F9H61H.N5IL7O  25  -586682796048706917.9292065751
COK5II6P1MGB.HNB27E  26  47541928564249403.688500687
-9M1LA97F9I71I.O5JM7P  26  -939865538243784872.931603205
CPL5JJ6P1NHB.IOC27E  27  72017761003016168.7002024279
-9N1MAA8G9J71I.P6KN7Q  27  -1479086697213538839.9352163174
DPM5JK6Q1OIC.IPC28F  28  115455423408218948.675295295
-AO1NAA8GAK71J.Q6LO8R  28  -2521770296451420831.9372206895
DQN5KK6R1PIC.JQC28F  29  169881537645692824.6865832586
-AP1OBA8HAK81K.R6LP8S  29  -3843935135258206321.9390656743
ERO5LL7S1PJD.KRD28G  30  264425177271830083.697150968
-AQ1OBB9IAL81L.S6MQ8T  30  -5776062546677074251.9408472826
ESP6LM7T1QKD.KSD28G  31  379334974002590372.6747364431
-BR1PCB9IBM81L.T6NR8U  31  -9351810662562859617.9425289617
FTP6MN7U1RKE.LTE39H  32  573970039831588494.68500070367
-BS1QCB9JBN81M.U7OR9V  32  -13692997143197622326.94509440567
FUQ6NN7V2SLE.MUE39H  33  805295114548762082.69460721948
-CS1RCCAJBN91N.V7OS9W  33  -21432655252881155900.94651355538
FVR6OO7W2TMF.MUF39I  34  1118479736511095775.6733944758
-CT1SDCAKCO91N.W7PT9X  34  -30676312985346380381.94788982206
GWS6OP8X2UMF.NVF3AJ  35  1635281972985990785.68280103372
-CU1TDDALCP91O.X7QUAY  35  -43452195149041737334.94919804313
GXT7PP8Y2VNF.OWG3AJ  36  2229567490575720123.69170292045
-DV1TEDBLDPA2P.Y8RVAZ  36  -65685872153984995393.95121462571
